0,17
1,04
0,10
1,26
0,15
1,12
0,17
0,24
1,14
1,14
1,25
0,05
1,18
0,07
1,02
0,21
1,02
1,45
0,17
1,19
1,27
0,03
1,25
1,16
1,11
0,15
0,11
0
0,29
1,19
1,08
2,06
0,22
0,31
1,13
1,12
1,26
0,22
0,11
0,07
0,03
2,11
0,32
1,27
1,30
1,07
0,05
0,06
0,31
1,0
0
1,08
0,23
0,10
0,22
0,06
0,05
2,29
2,12
1,32
2,09
1,27
1,12
0,5
0,08
1,02
0,11
2,09
1,32
1,14
1,16
2,06
0,0
1,31
1,08
2,32
0,31
1,31
2,45
0,16
2,38
0,09
0,29
1,28
1,11
0,15
0,31
0,03
3,32
0,28
1,14
0,36
1,25
0,02
0,21
0,14
1,23
1,29
0,09
0,23
